Dataset,Dataset Type,Framework,Trial,F1 Score,Training Time
23,multiclass,h2o,5,0.2989040074978263,305.7013323309948
23,multiclass,h2o,6,0.5209743951820309,305.29085644101724
23,multiclass,h2o,7,0.47011179721260005,306.0101647290285
23,multiclass,h2o,8,0.22826063387662174,305.4545237989514
23,multiclass,h2o,9,0.28066178476653214,306.1225255570025
23,multiclass,h2o,10,0.404332102340347,306.089379460027
23,multiclass,h2o,11,0.22857142857142862,305.94658178300597
23,multiclass,h2o,12,0.481385836623989,305.58745455904864
23,multiclass,h2o,13,0.21218012628780325,305.7655069329776
23,multiclass,h2o,14,0.31405073056691996,306.0342813860043
23,multiclass,h2o,15,0.29502806397215614,306.1586732380092
23,multiclass,h2o,16,0.28019958815143353,306.09303418698255
23,multiclass,h2o,17,0.450002167410811,305.72474555298686
23,multiclass,h2o,18,0.4513466200718855,306.1704134879983
23,multiclass,h2o,19,0.3061476252870648,306.1633231159649
23,multiclass,h2o,20,0.3680824367221337,306.1120192349772
23,multiclass,lightautoml,1,0.4184349965647086,159.64202831097646
23,multiclass,lightautoml,2,0.4145966514227644,181.16564695496345
23,multiclass,lightautoml,3,0.32865574076668064,158.09397893596906
23,multiclass,lightautoml,4,0.4292683532978777,158.29943935998017
23,multiclass,lightautoml,5,0.4088709481312161,162.81709966203198
23,multiclass,lightautoml,6,0.41664457279349515,174.6068320919876
23,multiclass,lightautoml,7,0.4605545570754027,135.85160640301183
23,multiclass,lightautoml,8,0.443397272064709,167.8527510649874
23,multiclass,lightautoml,9,0.44439776764969563,157.9751031040214
23,multiclass,lightautoml,10,0.39902440558813107,160.84873316099402
23,multiclass,lightautoml,11,0.3951299637458126,163.61659848096315
23,multiclass,lightautoml,12,0.39888644895233083,145.9747055430198
23,multiclass,lightautoml,13,0.3800879503903862,173.79430108197266
23,multiclass,lightautoml,14,0.4074788739195519,174.76385397202102
23,multiclass,lightautoml,15,0.4279221350107585,236.90384760597954
23,multiclass,lightautoml,16,0.438864984170203,148.98687595000956
23,multiclass,lightautoml,17,0.4211219020609078,244.72660828899825
23,multiclass,lightautoml,18,0.42194504273439226,164.62327677302528
23,multiclass,lightautoml,19,0.3863678934726477,146.557579470973
23,multiclass,lightautoml,20,0.458362376101005,391.91077182797017
23,multiclass,lightwood,1,0.5604445437173061,2.4045634949998203
23,multiclass,lightwood,2,0.551489317729727,2.0809035510001195
23,multiclass,lightwood,3,0.5106839819439588,1.7308414499998435
23,multiclass,lightwood,4,0.5769192972793084,1.5933027940000102
23,multiclass,lightwood,5,0.5736665711853798,2.309530994999932
23,multiclass,lightwood,6,0.5407981872482767,1.64450396500024
23,multiclass,lightwood,7,0.5905077841101268,1.7544201539999449
23,multiclass,lightwood,8,0.487694052421822,2.295800849999978
23,multiclass,lightwood,9,0.5625120854419783,1.7818117959996016
23,multiclass,lightwood,10,0.5546622673239218,1.8339664080003786
23,multiclass,lightwood,11,0.5483881170326392,1.7319653079998716
